citation_key,Year,First author,Category,Title,Mechanism(s),Species,Life stage,Fish size,Thresholds/metrics,Mortality/survival,Sample size (n=),Turbine/structure,Methodology,Hypotheses/assumptions,Outcome summary,Confidence,Notes,Source depth
1967_Bell,1967,Bell,Review,A compendium of fish and small hydropower passage,,,Juvenile; Adult,55 cm,,20% mortali; 30% mortali,,Kaplan; Francis,Review/meta-analysis,,,Mined,,Full-text mined
1981_Turbak,1981,Turbak,Review,Analysis of environmental issues related to small-scale hydroelectric development IV fish mortality resulting from,,Smolts (unspec.); Chinook salmon (O. tshawytscha); Salmonids (general),,51-57 mm; 76-127 mm; 89-114 mm; 25-38 mm; 38-51 mm; 89-127 mm,,,,Kaplan; Pumped storage,Review/meta-analysis,,,Mined,,Full-text mined
1983_Ruggles,1983,Ruggles,Review,Fish response to spillways,Gas supersaturation/GBT; Entrainment/impingement/screen,Sockeye/coho (Oncorhynchus); Smolts (unspec.); Salmonids (general); Chinook salmon (O. tshawytscha),,18-20 cm; 50 cm; 18 cm,,8% mortali; 92% surviva; 50% mortali; 115% mortali; 37% mortali; 5.4% mortali; 120% mortali,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
1996_Lewis,1996,Lewis,Review,Effects of Underwater Explosions on Life in the Sea,,,,,,,,,Review/meta-analysis,,,Mined,,Low text only
1999_Cada,1999,Cada,Review,Exploring the Role of Shear Stress and Severe Turbulence in Downstream Fish Passage,Shear; Turbulence,,,,"strain rate s-1: 30, 600, 50",,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
1999_Odeh,1999,Odeh,Review,A summary of environmentally friendly turbine design concepts,Shear; Cavitation; Turbulence; Grinding/abrasion/pinch,Salmonids (general),,,"pressure kPa: 48, 68.8, 146, 206, 241, 275",20% mortali; 16% mortali; 0% mortali; 50% mortali; 19% mortali; 6% mortali; 5% mortali,,Kaplan; Francis,Review/meta-analysis,,,Mined,,Full-text mined
2000_Coutant,2000,Coutant,Review,Fish Behavior in Relation to Passage through Hydropower Turbines A Review,Barotrauma/pressure; Turbulence,Salmonids (general); Smolts (unspec.),Juvenile; Smolt; Adult,,,7% mortali; 4% mortali; 5.2% mortali; 5.3% mortali,,,CFD/numerical; Review/meta-analysis,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2001_Cada,2001,Cada,Review,The development of advanced hydroelectric turbines to improve fish passage survival,,,,,,,,,Review/meta-analysis,,,Mined,,Low text only
2003_Weiland,2003,Weiland,Review,Technologies for fish passage,,Salmonids (general); Chinook salmon (O. tshawytscha); Smolts (unspec.),,,,,,,Review/meta-analysis,,,Mined,,Full-text mined
2004_Avellan,2004,Avellan,Review,Introduction to cavitation in hydraulc machinery,Cavitation,,,,,,,Pump,Review/meta-analysis,,,Mined,,Full-text mined
2006_Cada,2006,Cada,Review,Efforts to Reduce Mortality to Hydroelectric Turbine-Passed Fish Locating and Quantifying Damaging Shear Stresses,Shear,Rainbow trout/steelhead (O. mykiss); American shad (A. sapidissima); American eel (A. rostrata),,,strain rate s-1: 1007,,,Kaplan,CFD/numerical; Review/meta-analysis,,,Mined,,Full-text mined
2007_Schilt,2007,Schilt,Review,Developing fish passage and protection at hydropower dams,Turbulence,Salmonids (general); Lamprey; American shad (A. sapidissima); Rainbow trout/steelhead (O. mykiss),Juvenile,,,40% mortali; 15% mortali,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
2011_Amaral,2011,Amaral,Review,Estimating total passage survival for fish migrating downstream at hydropower projects-amaral,Blade strike; Shear; Entrainment/impingement/screen,Atlantic salmon (Salmo salar); Smolts (unspec.),Juvenile; Smolt; Adult,130-210 mm; 650-800 mm; 25-37 mm,,100% surviva; 97.1% surviva; 97% surviva; 70% mortali; 0% surviva,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
2011_Cada,2011,Cada,Review,Determining the Best Methods for Reducing Fish Mortality,,,,,,,,,Review/meta-analysis,,,Mined,,Full-text mined
2011_Cadab,2011,Cada,Review,The Development of Advanced Hydroelectric Turbines to Improve Fish Passage Survival,Barotrauma/pressure; Shear; Cavitation; Turbulence; Entrainment/impingement/screen,Chinook salmon (O. tshawytscha); Smolts (unspec.); Salmonids (general); Rainbow trout/steelhead (O. mykiss),Juvenile; Adult,,,3% surviva; 98% surviva,,Francis,Review/meta-analysis,,,Mined,,Full-text mined
2011_EPRI,2011,EPRI,Review,Evaluation of Fish Injury and Mortality Associated with Hydrokinetic Turbines,,Rainbow trout/steelhead (O. mykiss),,100-700 mm; 100-150 mm; 225-275 mm,,100% surviva; 97% injurie; 100% mortali,,Hydrokinetic/MHK,Review/meta-analysis,,,Mined,,Full-text mined
2012_Carlson,2012,Carlson,Review,Barotrauma in Fish and Barotrauma Metrics,Barotrauma/pressure,Chinook salmon (O. tshawytscha),,,,,,Kaplan,Review/meta-analysis,Boyle's law; Mechanistic threshold model,,Mined,,Full-text mined
2014_Brown,2014,Brown,Review,Understanding Barotrauma in Fish Passing Hydro,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss); Lamprey; White sturgeon (A. transmontanus),,,"ratio of pressure change is 2; pressure kPa: 0, 1.0, 10, 13.8, 50, 50.5",,,Francis,Review/meta-analysis,,,Mined,,Full-text mined
2014_Hogan,2014,Hogan,Review,The Status of Environmentally Enhanced Hydropower Turbines,,Rainbow trout/steelhead (O. mykiss); Chinook salmon (O. tshawytscha); Smolts (unspec.); European eel (A. anguilla),,147-240 mm,strain rate s-1: 1007,98% surviva; 96.5% surviva; 83.8% surviva; 94.04% surviva; 97.8% surviva; 96.9% surviva; 97.9% surviva; 95.6% surviva,,Francis,Review/meta-analysis,,,Mined,,Full-text mined
2014_Trumbo,2014,Trumbo,Review,Improving hydroturbine pressures to enhance salmon passage survival and recovery,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general); Smolts (unspec.),Juvenile; Smolt; Adult,170-210 mm,"pressure kPa: 0, 13.8, 50, 50.5, 101, 345; strain rate s-1: 1007",80% mortali,,Kaplan; Francis; Spillway,Sensor Fish; Telemetry/tagging; Review/meta-analysis,,,Mined,,Full-text mined
2015_Beirao,2015,Beirao,Review,Avaliação e desenvolvimento de método para estudo de barotrauma em peixes em turbinas de usinas hidrelétricas,Barotrauma/pressure,Chinook salmon (O. tshawytscha),,,,,,,Review/meta-analysis,,,Mined,,Full-text mined
2015_Linnansaari,2015,Linnansaari,Review,FISH PASSAGE IN LARGE RIVERS,,Salmonids (general); Lamprey; Chinook salmon (O. tshawytscha); American shad (A. sapidissima),,,,100% mortali; 100% surviva; 89% surviva; 90% mortali; 99% surviva; 20% mortali,,Kaplan; Francis; Weir; Spillway,Review/meta-analysis,,,Mined,,Full-text mined
2016_Pracheil,2016,Pracheil,Review,A fish-eye view of riverine hydropower systems,Blade strike; Shear; Cavitation,Salmonids (general),Juvenile,,pressure kPa: 0; strain rate s-1: 1007,20% mortali; 35% injurie; 70% surviva; 28% mortali,,Francis,Review/meta-analysis,,,Mined,,Full-text mined
2016_Pracheilb,2016,Pracheil,Review,A traits-based approach for prioritizing species,,White sturgeon (A. transmontanus); Cyprinids (general); Lamprey; Pimelodus maculatus,Adult,,,30% mortali,,,Review/meta-analysis,Surrogacy across species,,Mined,,Full-text mined
2017_Bevelheimer,2017,Bevelheimer,Review,An overview of experimental efforts to understand the mechanisms of fish injury and mortality caused by,Blade strike,Rainbow trout/steelhead (O. mykiss); White sturgeon (A. transmontanus); Brown trout (S. trutta); Salmonids (general),,113-244 mm; 285-789 mm; 106-158 mm; 10-100 mm; 10-30 cm; 248-680 mm,,100% surviva; 65% surviva; 14% mortali; 100% mortali,,Archimedean screw; Hydrokinetic/MHK,Review/meta-analysis,,,Mined,,Full-text mined
2017_Crew,2017,Crew,Review,Literature Review - Fish mortality risks and international regulations associated with downstream passage through,Blade strike; Barotrauma/pressure; Shear; Entrainment/impingement/screen,Salmonids (general); Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss); Bull trout (S. confluentus),,,pressure kPa: 13.8,100% injury; 10% mortali; 58% mortali,15,,Review/meta-analysis,,,Mined,,Full-text mined
2018_Silva,2018,Silva,Review,It’s a catfish Novel approaches are needed to study the effects of rapid decompression on benthic species,Barotrauma/pressure,Pictus catfish (P. pictus); Salmonids (general),Larva; Adult,,"pressure kPa: 50, 101, 101.4, 175.8, 202, 404",,,Francis,Pressure/barotrauma chamber; Review/meta-analysis,Mechanistic threshold model,,Mined,,Full-text mined
2020_Algara,2020,Algara,Review,What are the relative risks of mortality and injury for fish during downstream passage at hydroelectric dams in,Entrainment/impingement/screen,Salmonids (general),,,strain rate s-1: 1186,100% injury,50,Kaplan; Francis; Spillway,Review/meta-analysis,,Systematic review of the relative risks of mortality and injury to fish during downstream passage at temperate-region hydroelectric dams.,Verified,,Full-text mined
2021_Copping,2021,Copping,Review,Are fish in danger A review of environmental effects of marine renewable energy on fishes,,Rainbow trout/steelhead (O. mykiss); White sturgeon (A. transmontanus); Chinook salmon (O. tshawytscha); Crucian carp (Carassius),,,,100% surviva,,Tidal,Review/meta-analysis,,,Mined,,Full-text mined
2021_Coutant,2021,Coutant,Review,Fish Behavior in Relation to Passage through Hydropower Turbines A Review,Barotrauma/pressure; Turbulence,Smolts (unspec.),Juvenile; Smolt; Adult,,,7% mortali; 4% mortali; 5.2% mortali; 5.3% mortali,,,CFD/numerical; Review/meta-analysis,,,Mined,,Full-text mined
2021_Quaranta,2021,Quaranta,Review,Environmentally Enhanced Turbines for Hydropower Plants Current Technology and Future Perspective,Blade strike,European eel (A. anguilla),,,"strain rate s-1: 1007, 3390",98% surviva; 2.5% injury; 97% surviva; 93.6% surviva; 14% surviva,,Kaplan; Francis; Archimedean screw; Very Low Head (VLH); Hydrokinetic/MHK,Review/meta-analysis,,,Mined,,Full-text mined
2021_Radinger,2021,Radinger,Review,Evident but context-dependent mortality of fish passinghydroelectric turbines,,European eel (A. anguilla),,,">275,000 fish, 75 species; mean turbine mortality 22.3% (95% CI 17.5-26.7%)",22.3% mortali; 95% mortali; 31% injurie; 20.2% mortali; 20% mortali; 22% mortali; 100% mortali; 0% mortali,10; 93; 155; 1; 83; 53; 113; 119,,Review/meta-analysis,,"Global meta-analysis: average hydropower-turbine fish mortality 22.3% (CI 17.5-26.7%) after handling/catch correction, but highly variable by turbine type, method and taxon.",Verified,,Full-text mined
2021_Wood,2021,Wood,Review,Leading edge topography of blades–a critical review,Blade strike; Cavitation,,,,,,,Pump,Review/meta-analysis,,,Mined,,Full-text mined
2022_Musa,2022,Musa,Review,Needs and Opportunities for Testing of Hydropower Technology Innovations,Gas supersaturation/GBT,,,,,,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
2023_Cox,2023,Cox,Review,Fish Injury from Movements across Hydraulic Structures,Barotrauma/pressure; Shear; Turbulence,Cyprinids (general); Salmonids (general),,,RPC = Pa /Pe [48; pressure kPa: 111,,,Spillway,In-situ field assessment; Review/meta-analysis,Mechanistic threshold model,,Mined,,Full-text mined
2023_Koukouvinis,2023,Koukouvinis,Review,State of the Art in Designing Fish-Friendly Turbines - Concepts and Performance Indicators,Barotrauma/pressure,,,,pressure kPa: 90,100% mortali; 80% mortali,,Weir; Pumped storage,CFD/numerical; Review/meta-analysis,,,Mined,,Full-text mined
2025_Martinez,2025,Martinez,Review,A scientific framework for sustainable hydropower with improved fish passage,Barotrauma/pressure; Entrainment/impingement/screen,Salmonids (general); Smolts (unspec.),Juvenile; Smolt; Adult,,"pressure kPa: 1.4, 3.4, 6.9, 9.0, 31.7, 34.5",3.7% injury,,Kaplan,Sensor Fish; In-situ field assessment; Review/meta-analysis,,,Mined,,Full-text mined
2025_Report,2025,Report,Review,Fish mortality at hydropower plants - identifying problems and co-creating solutions,Barotrauma/pressure,,,,,,,Spillway,Review/meta-analysis,,,Mined,,Full-text mined
1928_Evans,1928,Evans,Lab,Observations on the Physiology of the Swim Bladder in Cyprinoid Fishes,Barotrauma/pressure,Cyprinids (general),,,,,,,Blade-strike apparatus,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
1973_Christian,1973,Christian,Lab,The effects of underwater explosions on swimbladder fish,Barotrauma/pressure; Cavitation,,,,,,,,,,,Mined,,Full-text mined
1983_Feathers,1983,Feathers,Lab,Effects of Depressurization Upon Largemouth Bass,Barotrauma/pressure,Sockeye/coho (Oncorhynchus),,300-380 mm; 150-250 mm,,40% mortali; 60% mortali; 90% mortali; 85% mortali,,Francis,Pressure/barotrauma chamber,,,Mined,,Full-text mined
1995_Watson,1995,Watson,Lab,Allowable gas supersaturation for fish passing hydroelectric dams,Gas supersaturation/GBT,Salmonids (general); Smolts (unspec.),Fry/fingerling; Smolt,130 mm,,,,,,,,Mined,,Full-text mined
2000_Abernethy,2000,Abernethy,Lab,Laboratory Studies of the Effects of pressure and dissolved gases on fish,Gas supersaturation/GBT,Rainbow trout/steelhead (O. mykiss),,,"pressure kPa: 0, 2, 7, 9.799, 10, 50",100% mortali,,Kaplan; Francis; Bulb; Propeller/axial; Spillway,,,,Mined,,Full-text mined
2000_DOE,2000,DOE,Lab,Shear on fish,Shear,Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss); American shad (A. sapidissima),Juvenile,198 mm,,30% mortali,,Spillway,Shear flume/jet,,,Mined,,Full-text mined
2000_Neitzel,2000,Neitzel,Lab,Laboratory Studies on the Effects of Shear on Fish,Shear,Rainbow trout/steelhead (O. mykiss); Chinook salmon (O. tshawytscha); Smolts (unspec.); American shad (A. sapidissima),Juvenile,198 mm,Strain rate as exposure index; 'no observed effect level' strain rate determined,30% mortali,,Spillway,,,Established strain rate as the shear exposure metric (and the jet apparatus later used widely); injury increases with strain rate.,Verified,,Full-text mined
2002_Abernathy,2002,Abernathy,Lab,Simulated passage through a modified Kaplan turbine pressure regime,Gas supersaturation/GBT,Chinook salmon (O. tshawytscha),,,"pressure kPa: 3, 10, 50, 55, 70, 101",120% mortali; 15% mortali; 18.3% mortali,,Kaplan,,,,Mined,,Full-text mined
2002_Odeh,2002,Odeh,Lab,Evaluation of the effects of turbulence on the behavior of migratory fish,Shear; Turbulence,Rainbow trout/steelhead (O. mykiss); Salmonids (general),,21.5-22.8 cm; 56.5-59.3 cm,,,,Pump,,,,Mined,,Full-text mined
2003_Abernethy,2003,Abernethy,Lab,Fish Passage Through a Simulated Bulb Turbine Pressure Regime,Gas supersaturation/GBT,Chinook salmon (O. tshawytscha),,10-12 cm,"pressure kPa: 3, 10, 40, 50, 57, 70",26% injury,,Bulb,,,,Mined,,Full-text mined
2003_Becker,2003,Becker,Lab,Idendifying the effects on fish of changes in water pressure during turbine passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss); Salmonids (general),Juvenile,,"pressure kPa: 2, 3.5, 10, 30, 50, 57",,,Kaplan; Francis; Bulb; Propeller/axial,,,,Mined,,Full-text mined
2003_Carlson,2003,Carlson,Lab,Evolution of the sensor fish,,Smolts (unspec.),,,,,,Spillway,Sensor Fish,,,Mined,,Full-text mined
2003_Cook,2003,Cook,Lab,Final report - pilot scale tests Alden concepts NREC turbine,Barotrauma/pressure; Shear,American eel (A. rostrata),,150-200 mm; 75-150 mm; 92-131 mm,"strain rate s-1: 500, 180",100% surviva; 90.3% surviva; 98% surviva; 96% surviva; 92.9% surviva; 91.0% surviva,,Pump,,,,Mined,,Full-text mined
2003_Morris,2003,Morris,Lab,Lateral line pore diameters correlate with the development of gas bubble trauma signs in several Columbia River fishes,Gas supersaturation/GBT; Entrainment/impingement/screen,Chinook salmon (O. tshawytscha); Salmonids (general); Smolts (unspec.),Juvenile; Smolt,,,,,Spillway,,,,Mined,,Full-text mined
2004_Neitzel,2004,Neitzel,Lab,Survival estimates for juvenile fish subjected to a laboratory-generated shear environment,Shear,,Juvenile,,,,,,Shear flume/jet,,,Mined,,Low text only
2004_Ryon,2004,Ryon,Lab,Further tests of changes in fish escape behavior resulting from sublethal stresses associated with hydroelectric turbine,,Rainbow trout/steelhead (O. mykiss),,,,,,,,,,Mined,,Full-text mined
2005_Deng,2005,Deng,Lab,Evaluation of fish-injury mechanisms during exposure to turbulent shear flow,Shear; Turbulence,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,93-128 mm; 50.8 cm,6.35-cm jet; onset minor/major/fatal injury at 12.2 / 13.7 / 16.8 m/s (Chinook 93-128 mm),14% mortali; 95% injury; 5% injury,21,Spillway,Shear flume/jet; In-situ field assessment,,"Shear-injury onset for juvenile Chinook: opercle injury ~12.2 m/s, eye injury/bruising/equilibrium loss >=16.8 m/s; acceleration best predicts injury.",Verified,,Full-text mined
2005_Weiland,2005,Weiland,Lab,Characterization of Bead Trajectories Through the Draft Tube of a Turbine Physical Model,Turbulence,,Juvenile,,,,,Kaplan,,,,Mined,,Full-text mined
2006_Escaler,2006,Escaler,Lab,Detection of cavitation in hydraulic turbines,Blade strike; Cavitation,,,,,,,Kaplan; Francis; Pump,,,,Mined,,Full-text mined
2007_Brown,2007,Brown,Lab,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Yearling/sub-adult,126-203 mm; 99-139 mm; 112.4 mm,"pressure kPa: 7, 10, 070, 101, 131, 161",,,,Telemetry/tagging,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2007_Deng,2007,Deng,Lab,Six-Degree-of-Freedom Sensor Fish Design and Instrumentation,Shear; Turbulence,Smolts (unspec.),Smolt; Yearling/sub-adult,,,,,,Sensor Fish,Mechanistic threshold model,,Mined,,Full-text mined
2007_McKinstry,2007,McKinstry,Lab,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Smolt,,'Mortally injured' = presence of any of 8 injury types (replaces mortality as endpoint),,,Kaplan,,Neutral buoyancy / acclimation depth; Mechanistic threshold model,"Defined a 'mortal injury' metric for rapid-decompression studies of physostomous fish, improving on raw mortality.",Verified,,Full-text mined
2009_Brown,2009,Brown,Lab,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Yearling/sub-adult,126-203 mm; 99-139 mm; 152.5 mm; 112.4 mm,"pressure kPa: 1.8, 2, 2.62, 7, 9.0, 19",,,Francis,Telemetry/tagging,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2009_Dobriloff,2009,Dobriloff,Lab,Surface Pressure and Wall Shear Stress Measurements on a Wall Mounted Cylinder,Shear,,,,,,,,CFD/numerical,,,Mined,,Full-text mined
2009_Richmond,2009,Richmond,Lab,Response relationships between juvenile salmon and an autonomous sensor in turbulent flow,Shear; Turbulence,Chinook salmon (O. tshawytscha),Juvenile,92-128 mm; 93-128 mm,,95% injurie; 10% injury; 3.1% injury,,Pump; Spillway,Shear flume/jet; Sensor Fish,Mechanistic threshold model,,Mined,,Full-text mined
200x_Dixon,200x,Dixon,Lab,EPRI-Designing-leading-edges-of-turbine-blades-to-increase-fish-survival-from-blade-strike,Blade strike; Shear; Cavitation; Turbulence; Grinding/abrasion/pinch,Rainbow trout/steelhead (O. mykiss); American eel (A. rostrata); White sturgeon (A. transmontanus),Juvenile; Smolt,,,98% surviva,,,In-situ field assessment,,,Mined,,Full-text mined
2010_Deng,2010,Deng,Lab,Injury and mortality of juvenile salmon entrained in a submerged jet entering still water,Shear; Turbulence,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,93-128 mm; 92-128 mm,Jet velocities to 22.9 m/s; minor/major injury onset at 15.2 / 21.3 m/s,10% injurie; 15% injury,,Spillway,Shear flume/jet,Mechanistic threshold model,"Juvenile Chinook in a submerged jet: minor injury onset ~15.2 m/s, major ~21.3 m/s; acceleration magnitude indexes major injury.",Verified,,Full-text mined
2010_Stephenson,2010,Stephenson,Lab,Assessing barotrauma in neutrally and negatively buoyant juvenile salmonids exposed to simulated hydro-turbine,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Egg; Juvenile,80-165 mm; 82-180 mm; 112.8 mm; 143.8 mm,"Acclimation/neutral buoyancy decisive (16-h acclimation); injuries: gill emboli, swim-bladder rupture, hemorrhage",,599; 862,Spillway,Pressure/barotrauma chamber,Neutral buoyancy / acclimation depth,Neutrally buoyant juvenile salmonids suffered higher mortality/injury than negatively buoyant fish — fish must be acclimated to neutral buoyancy when assessing barotrauma.,Verified,,Full-text mined
2011_Amaralb,2011,Amaral,Lab,Designing leading edges of turbine blades to increase fish survival from blade strike,Blade strike; Shear; Cavitation; Turbulence; Grinding/abrasion/pinch,Rainbow trout/steelhead (O. mykiss); American eel (A. rostrata); White sturgeon (A. transmontanus),Juvenile; Smolt,,3-30% of fish killed (depends on length/design); thicker/blunter and slower blades safer,98% surviva,,,In-situ field assessment,,Blade strike is often the primary turbine-mortality mechanism (3-30% killed); thicker/blunter leading edges and lower strike speeds markedly improve survival.,Verified,,Full-text mined
2011_Boyd,2011,Boyd,Lab,Efficacy of Single‐Suture Incision Closures in Tagged Juvenile Chinook Salmon Exposed to Simulated Turbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,16-19 mm; 95-135 mm,"pressure kPa: 2, 19.3, 55.2, 75, 82.7, 101",,206; 91; 99,Spillway,Telemetry/tagging,Mechanistic threshold model,,Mined,,Full-text mined
2012_Brown,2012,Brown,Lab,Pathways of barotrauma in juvenile salmonids exposed to simulated hydroturbine passage Boyle's law vs. Henry's law,Barotrauma/pressure,Salmonids (general),Juvenile,,Typical Columbia R. passage ~200->0 kPa; Boyle's law (expansion) vs Henry's law (gas exsolution),,,Spillway,,Boyle's law; Henry's law,"Most rapid-decompression injury in juvenile salmonids is from swim-bladder gas expansion (Boyle's law), not gas coming out of solution (Henry's law).",Verified,,Full-text mined
2012_Brownb,2012,Brown,Lab,Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage,Barotrauma/pressure; Shear; Gas supersaturation/GBT,Chinook salmon (O. tshawytscha),Juvenile,71-205 mm,"LRP (P < 0.001; LRP × TDG (P = 0.0005; LRP is a significant (P < 0.0001; LRP greater than 1.5; pressure kPa: 2, 10.3, 13.8, 19.3, 44.1, 62; strain rate s-1: 3390",42.0% injury; 125% mortali,5; 3; 2; 1; 734; 284,Francis,,Mechanistic threshold model,,Mined,,Full-text mined
2012_Carlsonb,2012,Carlson,Lab,The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,,log-ratio of pressure (LRP) + tag burden most predictive of mortal injury,20% surviva; 24.3% injury; 6.2% injury; 92.6% mortali,416,Spillway,Telemetry/tagging,Mechanistic threshold model,Telemetry-tag presence raises barotrauma mortal-injury risk; LRP and tag burden are the strongest predictors — tags can inflate apparent mortality.,Verified,,Full-text mined
2012_Colotelo,2012,Colotelo,Lab,The effect of rapid and sustained decompression on barotrauma in juvenile brook lamprey and Pacific lamprey,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Lamprey; Salmonids (general),Juvenile,80-124 mm; 127-183 mm,Acclimation 146.2 kPa (4.6 m) -> nadir 13.8 kPa (rapid <1 s and sustained 17 min),,15; 20; 12; 3; 9; 2; 23,,,Neutral buoyancy / acclimation depth,Brook & Pacific lamprey showed no mortality/barotrauma up to 120 h at exposures expected to injure/kill ~97.5% of juvenile Chinook — lamprey are largely barotrauma-immune.,Verified,,Full-text mined
2012_Jacobsen,2012,Jacobsen,Lab,Environmental effects of hydrokinetic turbines on fish desktop and laboratory flume studies,Blade strike; Shear,American shad (A. sapidissima); Salmonids (general); Rainbow trout/steelhead (O. mykiss); Atlantic salmon (Salmo salar),Juvenile; Adult,22-23 cm; 57-59 cm,"pressure kPa: 1.6, 2, 460; strain rate s-1: 30, 185, 517, 850, 500, 852",3.1% injury; 1.1% injurie; 86.0% mortali; 80% mortali; 50% mortali,,Hydrokinetic/MHK; Tidal,,,,Mined,,Full-text mined
2012_Pflugrath,2012,Pflugrath,Lab,Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,127-226 mm,Max neutral-buoyancy depth of juvenile Chinook = 4.6-11.6 m,,,Kaplan,,Neutral buoyancy / acclimation depth,Juvenile Chinook can acclimate (neutral buoyancy) only to ~4.6-11.6 m; deeper-acclimated fish face far greater barotrauma risk.,Verified,,Full-text mined
2013_Chamorrow,2013,Chamorrow,Lab,Three-dimensional flow visualization in the wake of a miniature axial-flow hydrokinetic turbin,Turbulence,,,12 mm,strain rate s-1: 1007,,,Propeller/axial; Hydrokinetic/MHK,,,,Mined,,Full-text mined
2014_Deng,2014,Deng,Lab,Design and implementation of a new autonomous sensor fish to support advanced hydropower development,Blade strike; Barotrauma/pressure; Shear; Cavitation; Turbulence,,,,,,,Kaplan; Francis; Pump,Sensor Fish; Telemetry/tagging; In-situ field assessment; Review/meta-analysis,,,Mined,,Full-text mined
2015_Krakers,2015,Krakers,Lab,Full-Scale Validation of a Comprehensive Criterion to Predict Fish-Friendliness of Pumps,Blade strike,Cyprinids (general); Salmonids (general),Adult,,,100% surviva; 1.6% mortali; 0% mortali; 4.2% mortali; 85% mortali; 11.1% mortali; 85% surviva,,Propeller/axial; Pump,In-situ field assessment,,,Mined,,Full-text mined
