citation_key,Year,First author,Category,Title,Mechanism(s),Species,Life stage,Fish size,Thresholds/metrics,Mortality/survival,Sample size (n=),Turbine/structure,Methodology,Hypotheses/assumptions,Outcome summary,Confidence,Notes,Source depth
2016_Boys,2016,Boys,Lab,A piecewise regression approach for determining biologically relevant hydraulic thresholds for the protection of fishes,Barotrauma/pressure,Murray cod (M. peelii); Silver perch (B. bidyanus),Juvenile,,Ratio of pressure change R(NE:A); precautionary threshold: keep exposure pressure >70% of acclimation pressure,95% injury; 100% injury; 100% injurie; 40% injury; 0% injury; 100% mortali; 10% mortali,,Weir,Pressure/barotrauma chamber,Mechanistic threshold model,Barotrauma injury in Murray cod & silver perch rises sharply as nadir:acclimation ratio falls; multispecies precautionary threshold ~70% of acclimation pressure.,Verified,,Full-text mined
2016_Boysb,2016,Boys,Lab,How low can they go with the flow,Barotrauma/pressure,Silver perch (B. bidyanus); Golden perch (M. ambigua); Murray cod (M. peelii); White sturgeon (A. transmontanus),Egg; Larva; Juvenile; Adult,,Swim-bladder deflation ~40 kPa (~40% of surface pressure); recommend maintaining >=40% surface pressure,5% mortali; 50% mortali,,Kaplan; Weir,Pressure/barotrauma chamber,,Eggs and larvae are highly vulnerable to rapid decompression (injuries near 100% at low pressures); keeping exposure >=~40% surface pressure is protective.,Verified,,Full-text mined
2016_Brown,2016,Brown,Lab,A preliminary assessment of barotrauma injuries and acclimation studies for three fish species,Barotrauma/pressure,White sturgeon (A. transmontanus),,122-259 mm; 178-319 mm; 242-400 mm; 145-338 mm; 242-324 mm; 145-319 mm,"ratio of pressure change of 2; ratio of pressure change is again 2; RPC was a mean of 979; RPC was a mean of 4.3; pressure kPa: 0, 2.8, 3.4, 4.0, 4.1, 7.2; strain rate s-1: 1007",36% injurie,,Spillway,Pressure/barotrauma chamber,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2017_Pflugrath,2017,Pflugrath,Lab,Quantifying stressors and predicting injury and mortality in fish passing downstream through weirs and turbines,Blade strike; Barotrauma/pressure; Shear,Murray cod (M. peelii); Gudgeon (Gobio gobio); Silver perch (B. bidyanus); Chinook salmon (O. tshawytscha),,,,96% injury; 60% mortali; 96% mortali,,Weir,Sensor Fish,Dose-response,,Mined,,Full-text mined
2017_Xu,2017,Xu,Lab,Experimental investigation on the transport of different fish species in a jet fish pump,,Crucian carp (Carassius),,,strain rate s-1: 1007,,,Pump,Review/meta-analysis,,,Mined,,Full-text mined
2018_Beirao,2018,Beirao,Lab,"Determining barotrauma in the Pictus catfus, Pimelodus pictus experimentally exposed to simulated hydropower turbine",Barotrauma/pressure,Pictus catfish (P. pictus),,,"RPC for intestine rupture, at T1; RPC of ,1.2; RPC of ,2.0; RPC (,3.2; pressure kPa: 70.3, 304.1",50% injury,,Spillway,Pressure/barotrauma chamber,,,Mined,,Full-text mined
2018_Colotelo,2018,Colotelo,Lab,Injury and mortality of two Mekong River species exposed to turbulent shear forces,Blade strike; Barotrauma/pressure; Shear; Turbulence,Rainbow trout/steelhead (O. mykiss); Chinook salmon (O. tshawytscha); American shad (A. sapidissima),,45-72 mm; 43-67 mm; 70-86 mm; 58 mm; 56 mm; 76 mm,Jet to 21.3 m/s ~ strain rates up to 1185 s-1,67% mortali; 13% mortali,,Spillway,,,Blue gourami and iridescent shark injury rose with strain rate (to ~1185 s-1); gouramis more susceptible than sharks.,Verified,,Full-text mined
2018_Geist,2018,Geist,Lab,Juvenile Chinook Salmon Survival When Exposed to Simulated Dam Passage after Being Implanted with a New Microacoustic,Barotrauma/pressure; Shear,Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss),Juvenile; Smolt,69-107 mm; 95-135 mm; 66-108 mm; 70-106 mm; 65-104 mm; 95-143 mm,"pressure kPa: 124, 222",6.7% surviva; 96% surviva; 4.7% mortali,399; 308; 10; 8; 7,,Telemetry/tagging,Mechanistic threshold model,,Mined,,Full-text mined
2018_Pflugrath,2018,Pflugrath,Lab,Predicting hydraulic structure-induced barotrauma in Australian fish species,Barotrauma/pressure,Murray cod (M. peelii); Silver perch (B. bidyanus); Gudgeon (Gobio gobio),,,Dose-response logistic models of injury/mortality vs RPC (=acclimation/nadir),50% mortali; 90% mortali,,Weir,Pressure/barotrauma chamber,Surrogacy across species,Species-specific dose-response (RPC) models predict barotrauma injury/mortality for Australian fishes; some injuries strongly predict mortality.,Verified,,Full-text mined
2019_Bevelheimer,2019,Bevelheimer,Lab,Mortality and Injury Assessment for Three Species of Fish Exposed to Simulated Turbine Blade Strike,Blade strike,Rainbow trout/steelhead (O. mykiss),,26-182 mm,"Strike location, orientation, blade thickness and velocity",37.5% surviva; 25% mortali; 40% mortali; 50% mortali; 16% mortali; 35% mortali; 100% surviva; 100% mortali,,Pump; Hydrokinetic/MHK,Blade-strike apparatus,,Mortality higher for midbody>head>tail and lateral>dorsal/ventral strikes; thinner blades and higher velocities increase mortality.,Verified,,Full-text mined
2019_Harding,2019,Harding,Lab,Experimental Observation of Inertial Particles through Idealized Hydroturbine Distributor Geometry,Turbulence,,,,strain rate s-1: 3390,,,Kaplan,CFD/numerical; In-situ field assessment,,,Mined,,Full-text mined
2019_Meng,2019,Meng,Lab,Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage,Barotrauma/pressure,Crucian carp (Carassius),,,,,,,,,,Mined,,Full-text mined
2019_Pflugrath,2019,Pflugrath,Lab,American eel state of buoyancy and barotrauma susceptibility,Blade strike; Barotrauma/pressure,American eel (A. rostrata),,230-423 mm; 216-686 mm; 426 mm,Acclimation 172 kPa; rapid decompression,,,,Pressure/barotrauma chamber,,"Yellow- and silver-phase American eel were resilient to rapid decompression (no instantaneous mortality, minimal injury) — barotrauma not a major concern for American eel.",Verified,,Full-text mined
2019_Saylor,2019,Saylor,Lab,Quantifying mortality and injury susceptibility for two morphologically disparate fishes exposed to simulated turbine,Blade strike,American eel (A. rostrata),Juvenile; Smolt; Adult,45.7-67.5 cm; 53.9 cm,Simulated strike; varied blade thickness and velocity,100% mortali; 73% mortali; 90% mortali; 50.0% mortali; 71.4% mortali; 83.3% mortali; 33.3% mortali; 9% mortali; 71.7% mortali; 12% mortali,73; 377; 19; 57; 70; 151; 175; 9,Pump,Blade-strike apparatus,,Anguilliform American eel resisted blade strike (low mortality even at highest velocity); laterally-compressed bluegill suffered high mortality regardless of blade/velocity — body shape governs strike vulnerability.,Verified,,Full-text mined
2020_Amaral,2020,Amaral,Lab,Improving survival injury and mortality of fish struck by blades with slanted blunt leading edges,Blade strike,Rainbow trout/steelhead (O. mykiss),,110-163 mm; 182-236 mm; 400 mm,100-mm blade @10 m/s: L/t=2 -> 98% survival at 30deg slant vs 26.8% at 90deg; 200-mm fish 68% (strike at 0.58 body) vs 7.9% (0.36),100% surviva; 92% surviva; 98% surviva; 68% surviva; 68% survive; 7.9% survive; 94% mortali; 96% surviva,,Francis,,,"Slanted, blunt leading edges sharply raise strike survival (98% vs 27% at 30deg vs 90deg, 10 m/s); survival depends strongly on strike location and fish-length:blade-thickness ratio.",Verified,,Full-text mined
2020_Doyle,2020,Doyle,Lab,"Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme",Blade strike; Shear,Mosquitofish (Gambusia),Egg; Larva; Juvenile; Adult,,"pressure kPa: 000, 070, 100, 200, 600; strain rate s-1: 853, 000, 200, 852, 008, 688",95% surviva; 93% surviva; 100% surviva; 80% surviva; 6.1% surviva,,Francis; Pumped storage,,,,Mined,,Full-text mined
2020_Pflugrath,2020,Pflugrath,Lab,The Susceptibility of Juvenile American Shad to rapid decompression and fluid shear exposure,Barotrauma/pressure; Shear,American shad (A. sapidissima),Juvenile; Adult,53-85 mm; 35-86 mm; 55 cm,Dose-response models for rapid decompression and fluid shear,20% injury,197; 173,Spillway,,,Juvenile American shad dose-response models developed for both rapid decompression and fluid shear to guide hydropower operation.,Verified,,Full-text mined
2020_Pflugrathb,2020,Pflugrath,Lab,Using transparent fish to observe barotrauma associated with downstream passage through hydropower turbines,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Rainbow trout/steelhead (O. mykiss); Salmonids (general),Juvenile,,"RPC median of 6.3; RPC from 3.0; RPC of 10.0; RPC of 8.6; pressure kPa: 7, 11.0, 12.8, 13.1, 33.7, 46.9",,28,,Imaging/necropsy/histology; Review/meta-analysis,Boyle's law,,Mined,,Full-text mined
2020_Saylor,2020,Saylor,Lab,Within and Among Fish Species Differences in Simulated Turbine Blade Strike Mortality Limits on the Use of Surrogacy,Blade strike,Rainbow trout/steelhead (O. mykiss); Salmonids (general),,16.5-31.5 cm; 10.0-25.0 cm,Dose-response strike trials across salmonids/clupeids,15.8% mortali; 7% injured; 70% survivo; 20% surviva; 7% mortali; 7% survivo; 20% survivo,227; 276; 197; 158; 40; 8; 6,Kaplan; Francis; Propeller/axial,Blade-strike apparatus,Surrogacy across species,Strike mortality varies within and among species; salmonid surrogacy for untested species is unreliable — size and morphology matter.,Verified,,Full-text mined
2021_Castro-Santos,2021,Castro-Santos,Lab,Effects of plunge pool configuration on downstream passage survival of juvenile blueback herring,Turbulence,Blueback herring (A. aestivalis),Juvenile,60-180 cm,strain rate s-1: 1007,80% surviva; 19% mortali; 90% surviva,,Weir; Spillway,,,,Mined,,Full-text mined
2021_Egger,2021,Egger,Lab,Comparative swimming performance and behaviour of three benthic fish species The invasive round goby (Neogobius,,Round goby (N. melanostomus); Bullhead (Cottus gobio); Gudgeon (Gobio gobio),,,,,,Weir,,,,Mined,,Full-text mined
2021_Pflugrath,2021,Pflugrath,Lab,American eel resilience to simulated fluid shear associated with passage through hydroelectric turbines,Blade strike; Barotrauma/pressure; Shear; Grinding/abrasion/pinch,American eel (A. rostrata); European eel (A. anguilla),Adult,26.5-45.3 cm; 34.0 cm; 60 cm,Jet strain rate >800 s-1; no immediate or 48-h injury,40% mortali; 35% mortali; 99% injury; 100% mortali,,,,,American eel showed no injury at severe shear (>800 s-1); eel turbine injury is more likely from blade strike/pinching/grinding (>40% mortality reported for adult eel at turbines).,Verified,,Full-text mined
2021_Saylor,2021,Saylor,Lab,Creation of a prototype biomimetic fish to better understand impact trauma caused by hydropower turbine blade strikes,Blade strike,Rainbow trout/steelhead (O. mykiss); American eel (A. rostrata),,16 cm,Gelatin biomimetic fish with embedded accelerometer,,3,,Blade-strike apparatus,Dose-response,Built a biomimetic 'fish' (gelatin + accelerometer) to link measured impact forces to live-fish blade-strike dose-response.,Verified,,Full-text mined
2021_Saylorb,2021,Saylor,Lab,Susceptibility of Riverine Fishes to Anthropogenically-linked Trauma Strikes from Hydropower Turbine Blades,,Rainbow trout/steelhead (O. mykiss); American shad (A. sapidissima); Blueback herring (A. aestivalis); American eel (A. rostrata),,10.1-14.9 cm; 20.1-31.6 cm; 300 mm,,,3,,,,,Mined,,Full-text mined
2021_Wiegleb,2021,Wiegleb,Lab,"Flow, force, behaviour assessment of a prototype hydraulic barrier for invasive fish",,Round goby (N. melanostomus); Bullhead (Cottus gobio); Gudgeon (Gobio gobio),,11.0 cm,strain rate s-1: 1007,,7; 5,,In-situ field assessment,,,Mined,,Full-text mined
2022_ALPHEUS,2022,ALPHEUS,Lab,Fish mortality from prototype turbine,Blade strike; Barotrauma/pressure; Shear; Cavitation; Turbulence,Atlantic salmon (Salmo salar); European eel (A. anguilla),,76-305 mm; 76-229 mm; 10-25 mm; 682-720 mm; 26-76 mm,"pressure kPa: 2, 7, 87; strain rate s-1: 688, 341, 500, 150",15% mortali,,Kaplan,,,,Mined,,Full-text mined
2022_Doyle,2022,Doyle,Lab,Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower,Blade strike; Shear,Redfin perch (P. fluviatilis),Egg; Larva; Juvenile; Adult,60-80 mm,"pressure kPa: 10, 1100, 1277, 5000, 6000, 7000; strain rate s-1: 530, 2002, 353, 9265, 1853, 8407",82.69% surviva; 100% surviva; 0% surviva; 95% surviva,15; 10,Pumped storage,,,,Mined,,Full-text mined
2022_Meng,2022,Meng,Lab,Turbine blade strike tests for evaluation,Blade strike; Shear,Crucian carp (Carassius),,,"Variables: fish length, blade thickness, strike angle and speed",10.88% mortali; 80.5% injury; 20% mortali,,,CFD/numerical,,Injury severity is driven mainly by strike speed (at fixed blade thickness/fish length); blade-thickness:fish-length ratio also affects injury rate.,Verified,,Full-text mined
2022_Nakae,2022,Nakae,Lab,Domestication of captive-bred masu salmon leads to decrease in lateral line organs,,Masu salmon (O. masou); Salmonids (general),,38.1-55.3 mm; 66.7-98.1 mm; 91.2-108.8 mm; 42.4-139.2 mm,strain rate s-1: 1038,,30; 48,,,,,Mined,,Full-text mined
2023_Brinsholm,2023,Brinsholm,Lab,Anatomical and pathological characteristics of ribs in the Atlantic salmon (Salmo salar L.) and its relevance to,,Atlantic salmon (Salmo salar),,,,,,,,,,Mined,,Low text only
2023_Kerr,2023,Kerr,Lab,Boyle’s Law ignores dynamic processes in governing barotrauma in fish,Barotrauma/pressure,Pictus catfish (P. pictus); Chinook salmon (O. tshawytscha),,,Boyle's law vs Modified Rayleigh-Plesset model; diverge near-zero nadir and under liquid tension,,,Pump,In-situ field assessment,Boyle's law,Static Boyle's-law assumption underestimates dynamic swim-bladder behaviour at extreme/near-zero nadir; a dynamic (Rayleigh-Plesset) model better represents barotrauma.,Verified,,Full-text mined
2023_Kerrb,2023,Kerr,Lab,The effects of simulated hydropower turbine rapid decompression on two Neotropical fish species,Barotrauma/pressure,Pictus catfish (P. pictus); Murray cod (M. peelii); Silver perch (B. bidyanus); Crucian carp (Carassius),,154-11 mm; 150-16 mm,50% swim-bladder rupture at RPC 2.2 (piracanjuba) and 1.75 (pacu); some injury at very low RPC,20% injury,5; 3,,Pressure/barotrauma chamber,,In two Neotropical species injury incidence/intensity rose with RPC; 50% swim-bladder rupture at RPC ~1.75-2.2.,Verified,,Full-text mined
2023_Miccoli,2023,Miccoli,Lab,"Stress Response to Entrainment Flow Speed near Pump Inlet Fish Screens in Two Model Teleost Species, Anguilla anguilla",Entrainment/impingement/screen,Rainbow trout/steelhead (O. mykiss); European eel (A. anguilla),,10-120 cm,,100% surviva; 0% mortali,50; 25; 5; 65; 61,Pump,,,,Mined,,Full-text mined
2025_Schneider,2025,Schneider,Lab,A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish,Barotrauma/pressure,Atlantic salmon (Salmo salar); Salmonids (general),Juvenile; Adult,40 cm; 80 mm,Chamber operating range 14-450 kPa,,,Francis,Pressure/barotrauma chamber,,Describes an acclimation-controlled barotrauma chamber (14-450 kPa) for systematic assessment of barotrauma in potamodromous European species.,Verified,,Full-text mined
2025_Zitek,2025,Zitek,Lab,Untersuchung von druckänderungsbedingten,Barotrauma/pressure,Cyprinids (general); Crucian carp (Carassius); Chinook salmon (O. tshawytscha); Salmonids (general),Larva; Juvenile,11-13 mm; 17-23 mm; 15-16 mm,"pressure kPa: 10, 15, 19, 25, 29, 30; strain rate s-1: 1007",50% mortali; 95% mortali,70,Kaplan,,,,Mined,,Full-text mined
2026_Zitek,2026,Zitek,Lab,Sensitivity of larval and juvenile fish with different swim bladder morphology to barotrauma with a special focus on,Barotrauma/pressure,Redfin perch (P. fluviatilis),Larva; Juvenile,,"Acclimation 0/15 m (101/251 kPa); nadirs 15,30,40,60 kPa; dose-response lethal-injury curves",100% mortali; 50% injury; 8% injury; 9% mortali; 50% mortali; 94% mortali; 72% mortali; 10% mortali,130; 70; 15; 18; 33; 14; 11; 48,Kaplan,,Dose-response; Neutral buoyancy / acclimation depth,Physostomous cypriniform larvae/juveniles showed the HIGHEST barotrauma vulnerability (counter to usual physostome-tolerance assumption); risk lower under partial-load operation.,Verified,,Full-text mined
1990_Saettem,1990,Saettem,Field,NO Waterfall,,Atlantic salmon (Salmo salar); Brown trout (S. trutta),Juvenile,,,,,,,,,Mined,,Full-text mined
2006_Baumgartner,2006,Baumgartner,Field,Mortality of larval Murray cod (Maccullochella peelii peelii) and golden perch (Macquaria ambigua) associated,Turbulence,Murray cod (M. peelii); Golden perch (M. ambigua),Larva; Juvenile,10-13 mm; 14-16 mm,,,4,Weir,,,,Mined,,Full-text mined
2006_Boubee,2006,Boubee,Field,Downstream passage of silver eels at a small hydroelectric facility,Entrainment/impingement/screen,European eel (A. anguilla),Adult,852-101 mm; 078-177 mm; 837-98 mm; 817-88 mm; 550-750 mm; 150-250 mm,,,,Spillway,,,,Mined,,Full-text mined
2007_Dauble,2007,Dauble,Field,"Biological assessment of the advanced turbine design at Wanapum Dam, 2005",Blade strike; Shear,Salmonids (general),Juvenile,135-215 mm,,3.1% injury; 1.1% injury,,Kaplan,,,,Mined,,Full-text mined
2009_Normandeau,2009,Normandeau,Field,Shad movement and mortality,,,Yearling/sub-adult; Adult,156-450 mm; 451-769 mm; 105-646 mm; 452-769 mm; 326-562 mm; 296-433 mm,,40% mortali; 88.9% surviva; 22% injury; 75.5% surviva; 20% injurie; 95% surviva; 90% surviva; 8% survive; 100% surviva,,Kaplan; Propeller/axial,,,,Mined,,Full-text mined
2010_Dengb,2010,Deng,Field,Use of an autonomous sensor to evaluate the biological performance of the advanced turbine at Wanapum Dam,Turbulence,Chinook salmon (O. tshawytscha),Juvenile,,"pressure kPa: 23, 70",,,Kaplan; Spillway,Sensor Fish; Mark-recapture/balloon-net,,,Mined,,Full-text mined
2011_Duncan,2011,Duncan,Field,Characterization of Fish Passage conditions through a francis turbine cougar dam oregon,Shear,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,,,,13; 35; 19; 16; 1; 2; 14; 10,Francis,Sensor Fish; Mark-recapture/balloon-net; In-situ field assessment,,,Mined,,Full-text mined
2011_Duncanb,2011,Duncan,Field,Sensor fish study John Day Dam Spillbay 20,Shear; Turbulence,Chinook salmon (O. tshawytscha),,119-164 mm,,95% surviva,47; 17; 15,Weir; Spillway,Sensor Fish,,,Mined,,Full-text mined
2012_Normandeau,2012,Normandeau,Field,Estimation of survival of adult American shad passed through Francis and Kaplan turbines,Entrainment/impingement/screen,American shad (A. sapidissima),Juvenile; Adult,330-590 mm; 330-520 mm; 430-560 mm; 430-570 mm; 314-653 mm; 305-600 mm,Conowingo; Francis Unit 2 & Kaplan Unit 8; 1-h and 48-h survival; n~100-101 per unit (HI-Z balloon tag),10% surviva; 100% surviva; 93.0% surviva; 88.3% surviva; 86.3% surviva; 20% injurie; 75.0% injurie; 66.7% injured; 63.0% injured; 84.1% surviva,,Kaplan; Francis,In-situ field assessment,,Direct 1-h and 48-h passage survival/injury estimates for adult American shad through Francis and Kaplan units at Conowingo (FERC relicensing).,Verified,,Full-text mined
2012_STOWA,2012,STOWA,Field,Visvriendelijkheid van 26 opvoerwerktuigen,,,,15-30 cm; 20-30 cm; 50-60 cm,,,,,,,,Mined,,Full-text mined
2012_Winter,2012,Winter,Field,Field test for mortality of eel after passage through Pentair Fairbanks Nijhuis FishFlow turbine,,European eel (A. anguilla),,37-84 cm; 28-55 cm,,0.9% mortali; 4% injurie; 95% mortali; 1.3% mortali,2; 0,Kaplan; Pump,In-situ field assessment,,,Mined,,Full-text mined
2015_Buysse,2015,Buysse,Field,Evaluation of downstream migration mitigation actions for eel at an Archimedes screw pump pumping station,Grinding/abrasion/pinch,European eel (A. anguilla),,205-955 mm; 212-968 mm; 314-750 mm; 115-685 mm; 501-700 mm; 301-500 mm,,4% mortali; 6% mortali; 8% mortali,72; 291; 363; 145; 225; 20; 55; 119,Pump; Archimedean screw,,,,Mined,,Full-text mined
2015_Viehman,2015,Viehman,Field,Fish Interactions with a Commercial-Scale Tidal Energy Device in the Natural Environment,Blade strike; Barotrauma/pressure; Shear; Cavitation,American eel (A. rostrata),Juvenile; Adult,19 cm; 42 cm,strain rate s-1: 1007,46% mortali,,Hydrokinetic/MHK; Tidal,Telemetry/tagging,,,Mined,,Full-text mined
2016_Fu,2016,Fu,Field,Assessing hydraulic conditions through Francis turbines using an autonomous sensor device,Barotrauma/pressure; Shear,Chinook salmon (O. tshawytscha); Salmonids (general); Rainbow trout/steelhead (O. mykiss); Smolts (unspec.),,223 mm,"pressure kPa: 6, 24, 42, 50, 56, 71",5% mortali; 60% mortali; 11.1% surviva; 54.1% surviva; 37.1% surviva; 42.4% surviva,,Kaplan; Francis,Sensor Fish; In-situ field assessment,,,Mined,,Full-text mined
2017_Deng,2017,Deng,Field,Evaluation of boundary dam spillway,Shear; Gas supersaturation/GBT,Salmonids (general); Smolts (unspec.),Juvenile; Smolt,,"pressure kPa: 455, 758, 896",,,Spillway,Sensor Fish,,,Mined,,Full-text mined
2017_Egg,2017,Egg,Field,Improving European Silver Eel (Anguilla anguilla) downstream migration by undershot sluice gate management at a,Entrainment/impingement/screen,European eel (A. anguilla),Egg,,,100% mortali,,Kaplan; Weir,,,,Mined,,Full-text mined
2017_Mueller,2017,Mueller,Field,Evaluation of external fish injury caused by hydropower plants based on a novel field-based protocol,Barotrauma/pressure; Shear; Cavitation; Turbulence,European eel (A. anguilla); Brown trout (S. trutta); Cyprinids (general); Redfin perch (P. fluviatilis),,,,1% injury; 5% injury; 70% mortali,210; 631; 951; 1295; 60; 188; 183; 113,Kaplan; Francis; Archimedean screw,In-situ field assessment,,,Mined,,Full-text mined
2017_Verhelst,2017,Verhelst,Field,Movement behaviour of large female yellow European eel (Anguilla anguilla L.) in a freshwater polder area,,European eel (A. anguilla),,,,,11; 28; 4; 9; 52; 25; 19; 8,Pump; Weir; Tidal,Telemetry/tagging,,,Mined,,Full-text mined
2018_Amaral,2018,Amaral,Field,Survival of fish passing downstream at a small hydropower facility,Entrainment/impingement/screen,Cyprinids (general); Chinook salmon (O. tshawytscha); Salmonids (general); Common carp (C. carpio),,201-380 mm; 50-650 mm; 650 mm; 100 mm,Total project survival 77.3% (10% gate bypass) to 96.6% (90% bypass); 85% of fish pass trash racks,77.3% surviva; 99% surviva; 0% surviva; 36.6% surviva; 15.4% surviva; 100% mortali; 98.9% surviva; 95% surviva; 28% mortali; 91% surviva,,Spillway,,,Estimated 77-97% total downstream-passage survival at a small hydropower project depending on bypass use; population effects expected negligible.,Verified,,Full-text mined
2018_Bierschank,2018,Bierschank,Field,Fish injury and mortality at pumping stations a comparison of conventional and fish-friendly pumps,Blade strike; Barotrauma/pressure; Shear; Cavitation; Turbulence,Redfin perch (P. fluviatilis); Common carp (C. carpio); European eel (A. anguilla); Crucian carp (Carassius),,,,5% mortali; 40% mortali; 34% mortali; 9% mortali; 10% mortali,55; 21; 6; 117; 2; 43; 8; 461,Pump,,,,Mined,,Full-text mined
2018_Boys,2018,Boys,Field,Physical and hydraulic forces experienced by fish passing through three different low-head hydropower turbines,Barotrauma/pressure; Shear,Chinook salmon (O. tshawytscha); Smolts (unspec.); Atlantic salmon (Salmo salar); Salmonids (general),,,"RPC of 0.7; RPC of 0.71; RPC of 0.82; RPC of 0.92; pressure kPa: 0.04, 0.07, 1.4, 4.9, 5.3, 6.6",,,Kaplan; Archimedean screw; Very Low Head (VLH),Sensor Fish,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2018_Brackley,2018,Brackley,Field,Comparison of damage to live v. euthanized Atlantic salmon Salmo salar smolts from passage through an Archimedean,Grinding/abrasion/pinch,Atlantic salmon (Salmo salar); Smolts (unspec.),Larva; Juvenile; Smolt,161-202 mm; 163-196 mm,,,153; 30,Archimedean screw,In-situ field assessment,,,Mined,,Full-text mined
2018_Duncan,2018,Duncan,Field,Physical and ecological evaluation of a fish-friendly surface spillway,Gas supersaturation/GBT,Salmonids (general),Juvenile,,,,,Weir; Spillway,Sensor Fish,,,Mined,,Full-text mined
2018_Normandeau,2018,Normandeau,Field,"Biological Fish Injury and Survival Evaluation at the Regulating Outlet of Cougar Dam, Oregon",Shear,Chinook salmon (O. tshawytscha),Juvenile,160-283 mm; 173-279 mm; 203-265 mm; 127-209 mm,,20% injurie; 25% mortali; 13.2% injury; 7.7% injury; 83.2% injury; 5.0% surviva; 100% surviva; 20% injury; 88.2% surviva; 3.3% injurie,,Spillway,Mark-recapture/balloon-net,,,Mined,,Full-text mined
2018_Pander,2018,Pander,Field,Catch‐related fish injury and catch efficiency of stow‐net‐based fish recovery installations for fish‐monitoring at,,Brown trout (S. trutta); Redfin perch (P. fluviatilis); Salmonids (general),,30-20 mm,,18% mortali; 80% mortali; 84% mortali; 44% mortali,,Spillway,,,,Mined,,Full-text mined
2019_Bolland,2019,Bolland,Field,Direct and indirect impacts of pumping station operation on downstream migration of critically endangered European,Entrainment/impingement/screen,European eel (A. anguilla),,,,96.5% survive; 26% surviva,12; 56; 17; 10; 11; 13; 7; 18,Propeller/axial; Pump,Telemetry/tagging; Mark-recapture/balloon-net,,,Mined,,Full-text mined
2019_David,2019,David,Field,Use of a novel acoustic ‘listening’ method for detecting pump impellor strike on downstream migrating eels,Blade strike; Shear,Crucian carp (Carassius),,600 mm,,,,Pump,,,,Mined,,Full-text mined
2019_Knott,2019,Knott,Field,Fish Passage and Injury Risk at a Surface Bypass of aSmall-Scale Hydropower Plant,Entrainment/impingement/screen,Brown trout (S. trutta); Smolts (unspec.); Atlantic salmon (Salmo salar); European eel (A. anguilla),,19.6 cm; 18.2 cm; 29.4 cm; 20 cm,strain rate s-1: 3390,5% injury,,Kaplan; Pump; Spillway,,,,Mined,,Full-text mined
2019_Martinez,2019,Martinez,Field,Characterization of a siphon turbine to accelerate low-head hydropower deployment,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Silver perch (B. bidyanus); Salmonids (general),,,"pressure kPa: 21.8, 22.4, 53.8, 67.1, 76.2, 101",27.9% injury; 44.4% injury; 40% injury,,Siphon,Sensor Fish,,,Mined,,Full-text mined
2019_Martinezb,2019,Martinez,Field,Hydraulic and biological characterization of a large Kaplan turbine,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),,,"pressure kPa: 1.10, 6.9, 24.1, 101, 106, 344",100% injury,,Kaplan,Sensor Fish,,,Mined,,Full-text mined
